node,node_dc,airport_name,airport_lat,airport_lng
PEK,0.887356322,北京首都,40.084152,116.592735
PVG,0.772413793,上海浦东,31.14337,121.805199
XIY,0.770114943,西安咸阳,34.438157,108.764819
CTU,0.72183908,成都双流,30.57852,103.946999
CKG,0.696551724,重庆江北,29.71921,106.641602
CAN,0.675862069,广州白云,23.392429,113.298698
KMG,0.64137931,昆明长水,25.101944,102.929169
SZX,0.63908046,深圳宝安,22.63925,113.8106
HGH,0.602298851,杭州萧山,30.2295,120.434402
TSN,0.572413793,天津滨海,39.124352,117.3461
HAK,0.526436782,海口美兰,19.934851,110.4589
CSX,0.510344828,长沙黄花,28.196667,113.220833
CGO,0.47816092,郑州新郑,34.519669,113.840797
KWE,0.471264368,贵阳龙洞堡,26.538521,106.800697
HRB,0.452873563,哈尔滨太平,45.623402,126.250298
TAO,0.445977011,青岛流亭,36.266102,120.374397
SHE,0.445977011,沈阳桃仙,41.639839,123.483398
DLC,0.44137931,大连周水子,38.96566,121.538597
NKG,0.43908046,南京禄口,31.742041,118.862
LHW,0.436781609,兰州中川,36.51524,103.620697
XMN,0.436781609,厦门高崎,24.544029,118.127701
WUH,0.425287356,武汉天河,30.783751,114.208099
NNG,0.4,南宁吴圩,22.608259,108.172401
TNA,0.390804598,济南遥墙,36.857208,117.215897
FOC,0.374712644,福州长乐,25.935061,119.6632
NGB,0.365517241,宁波栎社,29.826679,121.461899
SHA,0.35862069,上海虹桥,31.196099,121.339766
SJW,0.337931034,石家庄正定,38.274376,114.694427
HET,0.337931034,呼和浩特白塔,40.853503,111.826381
URC,0.337931034,乌鲁木齐地窝堡,43.907101,87.474243
SYX,0.335632184,三亚凤凰,18.302891,109.412201
INC,0.331034483,银川河东,38.322769,106.393303
TYN,0.328735632,太原武宿,37.746891,112.628403
WNZ,0.324137931,温州龙湾,27.91222,120.851898
KHN,0.324137931,南昌昌北,28.865,115.900002
NAY,0.31954023,北京南苑,40.084152,116.592735
KWL,0.303448276,桂林两江,25.2181,110.039101
ZUH,0.289655172,珠海金湾,22.00666,113.376297
HFE,0.28045977,合肥新桥,31.986345,116.970474
YNT,0.273563218,烟台蓬莱,37.657223,120.987221
CGQ,0.264367816,长春龙嘉,43.996208,125.685303
XNN,0.257471264,西宁曹家堡,36.525322,102.037537
SWA,0.245977011,揭阳潮汕,23.5525,116.505836
LJG,0.216091954,丽江三义,26.683332,100.25
JJN,0.206896552,泉州晋江,24.794776,118.593069
MIG,0.193103448,绵阳南郊,31.428986,104.743592
WUX,0.186206897,无锡硕放,31.492889,120.424377
YIH,0.181609195,宜昌三峡,30.556473,111.479942
BAV,0.181609195,包头二里半,40.55999,109.996902
NTG,0.172413793,南通兴东,32.072922,120.975601
ZYI,0.172413793,遵义新舟,27.807552,107.250977
HIA,0.170114943,淮安涟水,33.788792,119.131102
DSN,0.165517241,鄂尔多斯伊金霍洛,39.495789,109.867412
XUZ,0.156321839,徐州观音,34.052925,117.554077
DYG,0.154022989,张家界荷花,29.101431,110.447943
