departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out
AAT,CGO,2018,AATCGO2018,2,47.751758,88.0869,34.519669,113.840797,0.04137931,0.47816092,124,0.000482109,124,0.000249869
AAT,KRL,2018,AATKRL2018,2,47.751758,88.0869,41.618911,86.138043,0.04137931,0.101149425,53,0.0000886,52,0.0000447
AAT,KRY,2017,AATKRY2017,2,47.751758,88.0869,45.46725,84.956487,0.026548673,0.079646018,4,0.000584243,5,0.000608428
AAT,KRY,2018,AATKRY2018,2,47.751758,88.0869,45.46725,84.956487,0.04137931,0.064367816,342,0.0000679,342,0.0000244
AAT,LHW,2018,AATLHW2018,2,47.751758,88.0869,36.51524,103.620697,0.04137931,0.436781609,83,0.000398709,83,0.000232249
AAT,SHF,2018,AATSHF2018,2,47.751758,88.0869,44.243677,85.895281,0.04137931,0.04137931,75,0.0000239,75,0.0000284
AAT,TCG,2017,AATTCG2017,2,47.751758,88.0869,46.67251,83.346901,0.026548673,0.017699115,3,0.0000292,3,0.0000292
AAT,TCG,2018,AATTCG2018,2,47.751758,88.0869,46.67251,83.346901,0.04137931,0.032183908,137,0.0000629,138,0.0000786
AAT,TLQ,2016,AATTLQ2016,2,47.751758,88.0869,43.03159,89.102437,0.018691589,0.046728972,62,0.00022793,62,0.000230403
AAT,URC,2015,AATURC2015,2,47.751758,88.0869,43.907101,87.474243,0.014778325,0.472906404,1648,0.004627775,1666,0.004901961
AAT,URC,2016,AATURC2016,2,47.751758,88.0869,43.907101,87.474243,0.018691589,0.448598131,1675,0.004423233,1676,0.00442076
AAT,URC,2017,AATURC2017,2,47.751758,88.0869,43.907101,87.474243,0.026548673,0.486725664,640,0.003811297,640,0.003787112
AAT,URC,2018,AATURC2018,2,47.751758,88.0869,43.907101,87.474243,0.04137931,0.337931034,1231,0.000403138,1229,0.00015292
AAT,XIY,2018,AATXIY2018,2,47.751758,88.0869,34.438157,108.764819,0.04137931,0.770114943,394,0.000868626,394,0.000537165
AAT,YIN,2015,AATYIN2015,1,47.751758,88.0869,43.957321,81.33329,0.014778325,0.039408867,20,0.000274185,0,0
AAT,YIN,2018,AATYIN2018,2,47.751758,88.0869,43.957321,81.33329,0.04137931,0.073563218,155,0.0000516,154,0.0000236
ACX,CAN,2015,ACXCAN2015,2,25.082371,104.962212,23.392429,113.298698,0.088669951,1.064039409,158,0.000766226,158,0.000781385
ACX,CAN,2016,ACXCAN2016,2,25.082371,104.962212,23.392429,113.298698,0.130841121,1.060747664,166,0.000424119,166,0.000430956
ACX,CAN,2017,ACXCAN2017,2,25.082371,104.962212,23.392429,113.298698,0.150442478,0.960176991,149,0.000298407,149,0.000290656
ACX,CAN,2018,ACXCAN2018,2,25.082371,104.962212,23.392429,113.298698,0.07816092,0.675862069,156,0.000233776,155,0.0000732
ACX,CKG,2015,ACXCKG2015,2,25.082371,104.962212,29.71921,106.641602,0.088669951,0.985221675,81,0.000814662,84,0.000813989
ACX,CKG,2017,ACXCKG2017,2,25.082371,104.962212,29.71921,106.641602,0.150442478,1.039823009,64,0.000370918,65,0.000366992
ACX,CKG,2018,ACXCKG2018,2,25.082371,104.962212,29.71921,106.641602,0.07816092,0.696551724,365,0.000171507,366,0.00012205
ACX,CSX,2016,ACXCSX2016,2,25.082371,104.962212,28.196667,113.220833,0.130841121,0.724299065,27,0.000306916,27,0.000301677
ACX,CSX,2017,ACXCSX2017,2,25.082371,104.962212,28.196667,113.220833,0.150442478,0.752212389,156,0.000224735,156,0.000224706
ACX,CSX,2018,ACXCSX2018,2,25.082371,104.962212,28.196667,113.220833,0.07816092,0.510344828,156,0.000113946,156,0.0000657
ACX,CTU,2016,ACXCTU2016,2,25.082371,104.962212,30.57852,103.946999,0.130841121,0.990654206,271,0.000570448,274,0.000570209
ACX,CTU,2017,ACXCTU2017,2,25.082371,104.962212,30.57852,103.946999,0.150442478,1.079646018,143,0.000422907,143,0.000434658
ACX,CTU,2018,ACXCTU2018,2,25.082371,104.962212,30.57852,103.946999,0.07816092,0.72183908,236,0.000208183,239,0.000126911
ACX,FOC,2016,ACXFOC2016,2,25.082371,104.962212,25.935061,119.6632,0.130841121,0.509345794,158,0.000175438,157,0.00017864
ACX,FOC,2017,ACXFOC2017,2,25.082371,104.962212,25.935061,119.6632,0.150442478,0.548672566,53,0.000137864,53,0.000144575
ACX,HAK,2016,ACXHAK2016,2,25.082371,104.962212,19.934851,110.4589,0.130841121,0.841121495,113,0.00031151,115,0.000312145
ACX,HAK,2017,ACXHAK2017,2,25.082371,104.962212,19.934851,110.4589,0.150442478,0.805309735,53,0.000237577,53,0.000237549
ACX,JJN,2018,ACXJJN2018,2,25.082371,104.962212,24.794776,118.593069,0.07816092,0.206896552,26,0.0000502,26,0.0000211
ACX,KMG,2015,ACXKMG2015,2,25.082371,104.962212,25.101944,102.929169,0.088669951,0.926108374,154,0.000679944,164,0.000671516
ACX,KMG,2016,ACXKMG2016,2,25.082371,104.962212,25.101944,102.929169,0.130841121,1.037383178,283,0.000497675,292,0.000497766
ACX,KMG,2017,ACXKMG2017,2,25.082371,104.962212,25.101944,102.929169,0.150442478,1.026548673,358,0.000371871,366,0.000371845
ACX,KMG,2018,ACXKMG2018,2,25.082371,104.962212,25.101944,102.929169,0.07816092,0.64137931,392,0.000169828,396,0.0000965
ACX,KWE,2015,ACXKWE2015,2,25.082371,104.962212,26.538521,106.800697,0.088669951,0.566502463,1089,0.000351107,1096,0.000337784
ACX,KWE,2016,ACXKWE2016,2,25.082371,104.962212,26.538521,106.800697,0.130841121,0.61682243,1542,0.000199199,1380,0.000198921
ACX,KWE,2017,ACXKWE2017,2,25.082371,104.962212,26.538521,106.800697,0.150442478,0.663716814,2088,0.00016325,2090,0.000163228
ACX,KWE,2018,ACXKWE2018,2,25.082371,104.962212,26.538521,106.800697,0.07816092,0.471264368,2577,0.0000823,2582,0.000056
ACX,LHW,2017,ACXLHW2017,2,25.082371,104.962212,36.51524,103.620697,0.150442478,0.637168142,86,0.000232025,82,0.000232123
ACX,LJG,2015,ACXLJG2015,2,25.082371,104.962212,26.683332,100.25,0.088669951,0.305418719,147,0.000184437,160,0.00017702
ACX,LJG,2016,ACXLJG2016,2,25.082371,104.962212,26.683332,100.25,0.130841121,0.299065421,253,0.0000928,254,0.0000924
ACX,LJG,2017,ACXLJG2017,2,25.082371,104.962212,26.683332,100.25,0.150442478,0.345132743,297,0.0000841,297,0.0000839
ACX,LJG,2018,ACXLJG2018,2,25.082371,104.962212,26.683332,100.25,0.07816092,0.216091954,289,0.0000348,290,0.0000232
ACX,MIG,2018,ACXMIG2018,2,25.082371,104.962212,31.428986,104.743592,0.07816092,0.193103448,29,0.0000441,29,0.0000282
ACX,NAY,2015,ACXNAY2015,2,25.082371,104.962212,40.084152,116.592735,0.088669951,0.566502463,312,0.000614171,315,0.000644817
ACX,NAY,2016,ACXNAY2016,2,25.082371,104.962212,40.084152,116.592735,0.130841121,0.485981308,309,0.000353807,310,0.000357634
ACX,NAY,2017,ACXNAY2017,2,25.082371,104.962212,40.084152,116.592735,0.150442478,0.548672566,320,0.000385297,322,0.00038527
ACX,NAY,2018,ACXNAY2018,2,25.082371,104.962212,40.084152,116.592735,0.07816092,0.31954023,298,0.000114249,298,0.000105913
ACX,NGB,2015,ACXNGB2015,2,25.082371,104.962212,29.826679,121.461899,0.088669951,0.389162562,155,0.000292156,148,0.000279486
ACX,NGB,2016,ACXNGB2016,2,25.082371,104.962212,29.826679,121.461899,0.130841121,0.378504673,253,0.000150094,253,0.000153225
ACX,NGB,2017,ACXNGB2017,2,25.082371,104.962212,29.826679,121.461899,0.150442478,0.508849558,297,0.000176023,297,0.000163704
ACX,NGB,2018,ACXNGB2018,2,25.082371,104.962212,29.826679,121.461899,0.07816092,0.365517241,385,0.0000742,384,0.0000402
ACX,PVG,2018,ACXPVG2018,2,25.082371,104.962212,31.14337,121.805199,0.07816092,0.772413793,279,0.000408329,276,0.000106461
ACX,SHA,2015,ACXSHA2015,2,25.082371,104.962212,31.196099,121.339766,0.088669951,0.748768473,162,0.000507798,162,0.000507932
ACX,SHA,2016,ACXSHA2016,2,25.082371,104.962212,31.196099,121.339766,0.130841121,0.719626168,290,0.000244771,281,0.000238142
ACX,SHA,2017,ACXSHA2017,2,25.082371,104.962212,31.196099,121.339766,0.150442478,0.668141593,364,0.000172002,356,0.000174362
ACX,SHA,2018,ACXSHA2018,2,25.082371,104.962212,31.196099,121.339766,0.07816092,0.35862069,84,0.0000706,83,0.0000475
ACX,SZX,2015,ACXSZX2015,2,25.082371,104.962212,22.63925,113.8106,0.088669951,0.980295567,84,0.000709458,84,0.000706031
ACX,SZX,2016,ACXSZX2016,2,25.082371,104.962212,22.63925,113.8106,0.130841121,0.962616822,123,0.000397985,123,0.000399827
ACX,SZX,2017,ACXSZX2017,2,25.082371,104.962212,22.63925,113.8106,0.150442478,0.955752212,360,0.000300189,363,0.000300155
ACX,SZX,2018,ACXSZX2018,2,25.082371,104.962212,22.63925,113.8106,0.07816092,0.63908046,329,0.000159626,331,0.0000745
ACX,WUH,2016,ACXWUH2016,2,25.082371,104.962212,30.783751,114.208099,0.130841121,0.654205607,36,0.00026389,36,0.00025906
ACX,WUH,2017,ACXWUH2017,2,25.082371,104.962212,30.783751,114.208099,0.150442478,0.654867257,209,0.000213606,209,0.000214411
