id,flights,mode,departure,destination,departure_lat,departure_lng,destination_lat,destination_lng,departure_name,destination_name
PEK-SHA,14364,departure,PEK,SHA,40.084152,116.592735,31.196099,121.339766,北京首都,上海虹桥
PEK-CTU,12163,departure,PEK,CTU,40.084152,116.592735,30.57852,103.946999,北京首都,成都双流
PEK-SZX,11196,departure,PEK,SZX,40.084152,116.592735,22.63925,113.8106,北京首都,深圳宝安
PEK-CAN,10230,departure,PEK,CAN,40.084152,116.592735,23.392429,113.298698,北京首都,广州白云
PEK-HGH,9026,departure,PEK,HGH,40.084152,116.592735,30.2295,120.434402,北京首都,杭州萧山
PEK-XIY,8278,departure,PEK,XIY,40.084152,116.592735,34.438157,108.764819,北京首都,西安咸阳
PEK-CKG,8090,departure,PEK,CKG,40.084152,116.592735,29.71921,106.641602,北京首都,重庆江北
PEK-KMG,7137,departure,PEK,KMG,40.084152,116.592735,25.101944,102.929169,北京首都,昆明长水
PEK-HRB,6841,departure,PEK,HRB,40.084152,116.592735,45.623402,126.250298,北京首都,哈尔滨太平
PEK-URC,5805,departure,PEK,URC,40.084152,116.592735,43.907101,87.474243,北京首都,乌鲁木齐地窝堡
PEK-DLC,5760,departure,PEK,DLC,40.084152,116.592735,38.96566,121.538597,北京首都,大连国际
PEK-WUH,5676,departure,PEK,WUH,40.084152,116.592735,30.783751,114.208099,北京首都,武汉天河
PEK-CSX,5603,departure,PEK,CSX,40.084152,116.592735,28.196667,113.220833,北京首都,长沙黄花
PEK-XMN,5220,departure,PEK,XMN,40.084152,116.592735,24.544029,118.127701,北京首都,厦门高崎
PEK-TAO,4866,departure,PEK,TAO,40.084152,116.592735,36.266102,120.374397,北京首都,青岛流亭
PEK-SYX,4812,departure,PEK,SYX,40.084152,116.592735,18.302891,109.412201,北京首都,三亚凤凰
PEK-KWE,4274,departure,PEK,KWE,40.084152,116.592735,26.538521,106.800697,北京首都,贵阳龙洞堡
PEK-CGQ,4160,departure,PEK,CGQ,40.084152,116.592735,43.996208,125.685303,北京首都,长春龙嘉
PEK-FOC,4006,departure,PEK,FOC,40.084152,116.592735,25.935061,119.6632,北京首都,福州长乐
PEK-HAK,3929,departure,PEK,HAK,40.084152,116.592735,19.934851,110.4589,北京首都,海口美兰
PEK-NKG,3922,departure,PEK,NKG,40.084152,116.592735,31.742041,118.862,北京首都,南京禄口
PEK-LHW,3921,departure,PEK,LHW,40.084152,116.592735,36.51524,103.620697,北京首都,兰州中川
PEK-KHN,3642,departure,PEK,KHN,40.084152,116.592735,28.865,115.900002,北京首都,南昌昌北
PEK-SHE,3487,departure,PEK,SHE,40.084152,116.592735,41.639839,123.483398,北京首都,沈阳桃仙
PEK-NNG,3430,departure,PEK,NNG,40.084152,116.592735,22.608259,108.172401,北京首都,南宁吴圩
PEK-ZUH,3155,departure,PEK,ZUH,40.084152,116.592735,22.00666,113.376297,北京首都,珠海金湾
PEK-INC,3098,departure,PEK,INC,40.084152,116.592735,38.322769,106.393303,北京首都,银川河东
PEK-YNT,2967,departure,PEK,YNT,40.084152,116.592735,37.657223,120.987221,北京首都,烟台蓬莱
PEK-XNN,2512,departure,PEK,XNN,40.084152,116.592735,36.525322,102.037537,北京首都,西宁曹家堡
PEK-PVG,2505,departure,PEK,PVG,40.084152,116.592735,31.14337,121.805199,北京首都,上海浦东
PEK-HET,2354,departure,PEK,HET,40.084152,116.592735,40.853503,111.826381,北京首都,呼和浩特白塔
PEK-NGB,2317,departure,PEK,NGB,40.084152,116.592735,29.826679,121.461899,北京首都,宁波栎社
PEK-WNZ,2298,departure,PEK,WNZ,40.084152,116.592735,27.91222,120.851898,北京首都,温州龙湾
PEK-TYN,2112,departure,PEK,TYN,40.084152,116.592735,37.746891,112.628403,北京首都,太原武宿
PEK-HFE,1739,departure,PEK,HFE,40.084152,116.592735,31.986345,116.970474,北京首都,合肥新桥
PEK-KWL,1508,departure,PEK,KWL,40.084152,116.592735,25.2181,110.039101,北京首都,桂林两江
PEK-BAV,1378,departure,PEK,BAV,40.084152,116.592735,40.55999,109.996902,北京首都,包头东河
PEK-DQA,1204,departure,PEK,DQA,40.084152,116.592735,46.748684,125.139725,北京首都,大庆萨尔图
PEK-JMU,1169,departure,PEK,JMU,40.084152,116.592735,46.845709,130.470506,北京首都,佳木斯
PEK-HLD,1146,departure,PEK,HLD,40.084152,116.592735,49.209334,119.830223,北京首都,海拉尔东山
PEK-SWA,1104,departure,PEK,SWA,40.084152,116.592735,23.5525,116.505836,北京首都,揭阳潮汕
PEK-WUX,1070,departure,PEK,WUX,40.084152,116.592735,31.492889,120.424377,北京首都,无锡硕放
PEK-WEH,1059,departure,PEK,WEH,40.084152,116.592735,37.185852,122.234969,北京首都,威海大水泊
PEK-MIG,1050,departure,PEK,MIG,40.084152,116.592735,31.428986,104.743592,北京首都,绵阳南郊
PEK-JJN,1032,departure,PEK,JJN,40.084152,116.592735,24.794776,118.593069,北京首都,泉州晋江
