departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
AAT,CGO,2018,AATCGO2018,2,47.751758,88.0869,34.519669,113.840797,0.04137931,0.47816092,124.0,0.000482109,124,0.000249869,"[47.751758, 88.0869]","[34.519669, 113.840797]"
AAT,KRL,2018,AATKRL2018,2,47.751758,88.0869,41.618911,86.13804300000001,0.04137931,0.101149425,53.0,8.859999999999999e-05,52,4.47e-05,"[47.751758, 88.0869]","[41.618911, 86.13804300000001]"
AAT,KRY,2017,AATKRY2017,2,47.751758,88.0869,45.46725,84.956487,0.026548673,0.079646018,4.0,0.000584243,5,0.000608428,"[47.751758, 88.0869]","[45.46725, 84.956487]"
AAT,KRY,2018,AATKRY2018,2,47.751758,88.0869,45.46725,84.956487,0.04137931,0.064367816,342.0,6.790000000000001e-05,342,2.44e-05,"[47.751758, 88.0869]","[45.46725, 84.956487]"
AAT,LHW,2018,AATLHW2018,2,47.751758,88.0869,36.515240000000006,103.62069699999999,0.04137931,0.43678160899999996,83.0,0.000398709,83,0.00023224900000000002,"[47.751758, 88.0869]","[36.515240000000006, 103.62069699999999]"
AAT,SHF,2018,AATSHF2018,2,47.751758,88.0869,44.243677000000005,85.89528100000001,0.04137931,0.04137931,75.0,2.3899999999999998e-05,75,2.84e-05,"[47.751758, 88.0869]","[44.243677000000005, 85.89528100000001]"
AAT,TCG,2017,AATTCG2017,2,47.751758,88.0869,46.672509999999996,83.346901,0.026548673,0.017699115,3.0,2.9199999999999998e-05,3,2.9199999999999998e-05,"[47.751758, 88.0869]","[46.672509999999996, 83.346901]"
AAT,TCG,2018,AATTCG2018,2,47.751758,88.0869,46.672509999999996,83.346901,0.04137931,0.032183908,137.0,6.29e-05,138,7.859999999999999e-05,"[47.751758, 88.0869]","[46.672509999999996, 83.346901]"
AAT,TLQ,2016,AATTLQ2016,2,47.751758,88.0869,43.03159,89.102437,0.018691588999999998,0.046728972,62.0,0.00022793,62,0.00023040299999999998,"[47.751758, 88.0869]","[43.03159, 89.102437]"
AAT,URC,2015,AATURC2015,2,47.751758,88.0869,43.907101000000004,87.474243,0.014778325,0.472906404,1648.0,0.004627775,1666,0.004901961,"[47.751758, 88.0869]","[43.907101000000004, 87.474243]"
AAT,URC,2016,AATURC2016,2,47.751758,88.0869,43.907101000000004,87.474243,0.018691588999999998,0.448598131,1675.0,0.0044232329999999995,1676,0.00442076,"[47.751758, 88.0869]","[43.907101000000004, 87.474243]"
AAT,URC,2017,AATURC2017,2,47.751758,88.0869,43.907101000000004,87.474243,0.026548673,0.486725664,640.0,0.003811297,640,0.003787112,"[47.751758, 88.0869]","[43.907101000000004, 87.474243]"
AAT,URC,2018,AATURC2018,2,47.751758,88.0869,43.907101000000004,87.474243,0.04137931,0.33793103399999996,1231.0,0.00040313800000000004,1229,0.00015292,"[47.751758, 88.0869]","[43.907101000000004, 87.474243]"
AAT,XIY,2018,AATXIY2018,2,47.751758,88.0869,34.438157000000004,108.76481899999999,0.04137931,0.7701149429999999,394.0,0.0008686260000000001,394,0.000537165,"[47.751758, 88.0869]","[34.438157000000004, 108.76481899999999]"
AAT,YIN,2015,AATYIN2015,1,47.751758,88.0869,43.957321,81.33329,0.014778325,0.039408867,20.0,0.000274185,0,0.0,"[47.751758, 88.0869]","[43.957321, 81.33329]"
AAT,YIN,2018,AATYIN2018,2,47.751758,88.0869,43.957321,81.33329,0.04137931,0.073563218,155.0,5.16e-05,154,2.36e-05,"[47.751758, 88.0869]","[43.957321, 81.33329]"
ACX,CAN,2015,ACXCAN2015,2,25.082371,104.96221200000001,23.392429,113.298698,0.088669951,1.064039409,158.0,0.0007662260000000001,158,0.000781385,"[25.082371, 104.96221200000001]","[23.392429, 113.298698]"
ACX,CAN,2016,ACXCAN2016,2,25.082371,104.96221200000001,23.392429,113.298698,0.130841121,1.060747664,166.0,0.00042411900000000004,166,0.00043095599999999997,"[25.082371, 104.96221200000001]","[23.392429, 113.298698]"
ACX,CAN,2017,ACXCAN2017,2,25.082371,104.96221200000001,23.392429,113.298698,0.15044247800000002,0.960176991,149.0,0.000298407,149,0.000290656,"[25.082371, 104.96221200000001]","[23.392429, 113.298698]"
ACX,CAN,2018,ACXCAN2018,2,25.082371,104.96221200000001,23.392429,113.298698,0.07816092,0.675862069,156.0,0.000233776,155,7.32e-05,"[25.082371, 104.96221200000001]","[23.392429, 113.298698]"
ACX,CKG,2015,ACXCKG2015,2,25.082371,104.96221200000001,29.719209999999997,106.641602,0.088669951,0.985221675,81.0,0.000814662,84,0.000813989,"[25.082371, 104.96221200000001]","[29.719209999999997, 106.641602]"
ACX,CKG,2017,ACXCKG2017,2,25.082371,104.96221200000001,29.719209999999997,106.641602,0.15044247800000002,1.039823009,64.0,0.00037091800000000003,65,0.00036699199999999996,"[25.082371, 104.96221200000001]","[29.719209999999997, 106.641602]"
ACX,CKG,2018,ACXCKG2018,2,25.082371,104.96221200000001,29.719209999999997,106.641602,0.07816092,0.6965517240000001,365.0,0.000171507,366,0.00012205,"[25.082371, 104.96221200000001]","[29.719209999999997, 106.641602]"
ACX,CSX,2016,ACXCSX2016,2,25.082371,104.96221200000001,28.196666999999998,113.22083300000001,0.130841121,0.724299065,27.0,0.00030691599999999996,27,0.00030167700000000003,"[25.082371, 104.96221200000001]","[28.196666999999998, 113.22083300000001]"
ACX,CSX,2017,ACXCSX2017,2,25.082371,104.96221200000001,28.196666999999998,113.22083300000001,0.15044247800000002,0.7522123890000001,156.0,0.000224735,156,0.00022470599999999997,"[25.082371, 104.96221200000001]","[28.196666999999998, 113.22083300000001]"
ACX,CSX,2018,ACXCSX2018,2,25.082371,104.96221200000001,28.196666999999998,113.22083300000001,0.07816092,0.5103448279999999,156.0,0.00011394600000000001,156,6.57e-05,"[25.082371, 104.96221200000001]","[28.196666999999998, 113.22083300000001]"
