year,category,n,n2,rank
2015,PEK,0.197714816,0.765509387,1
2015,PVG,0.29898892,0.398486939,2
2015,CAN,0.117648654,0.544380082,3
2015,KMG,0.030969627,0.49023323,4
2015,CTU,0.038653565,0.446600527,5
2015,SZX,0.0259227,0.449990001,6
2015,XIY,0.016483014,0.441740021,7
2015,SHA,0.024804173,0.404835424,8
2015,CKG,0.022323078,0.401290034,9
2015,HGH,0.041148218,0.327982483,10
2015,XMN,0.034762449,0.262324976,11
2015,WUH,0.022089204,0.250377079,12
2015,NKG,0.02179432,0.23638194,13
2015,URC,0.014212066,0.243757436,14
2015,CSX,0.015761056,0.238188529,15
2015,TAO,0.033904912,0.219214252,16
2015,CGO,0.013917182,0.235592192,17
2015,HAK,0.006755222,0.189980036,18
2015,TSN,0.023621247,0.167372242,19
2015,DLC,0.021228278,0.168304348,20
2015,HRB,0.010653118,0.171358264,21
2015,SYX,0.002650569,0.178174497,22
2015,SHE,0.016371161,0.145588091,23
2015,FOC,0.01805234,0.13295213,24
2015,NNG,0.01244615,0.131274341,25
2015,TNA,0.008212696,0.128616993,26
2015,NGB,0.012398697,0.077605404,27
2015,YNT,0.008717728,0.064888097,28
2015,WUX,0.006453559,0.054716284,29
2015,JJN,0.008297433,0.043666598,30
2016,PEK,0.211523535,0.774806715,1
2016,PVG,0.321678061,0.419525406,2
2016,CAN,0.137283879,0.564594907,3
2016,KMG,0.034193017,0.513071508,4
2016,CTU,0.049116872,0.477034617,5
2016,SZX,0.033220238,0.460490593,6
2016,XIY,0.020224993,0.465513793,7
2016,SHA,0.026288763,0.408377425,8
2016,CKG,0.02914609,0.431436019,9
2016,HGH,0.045273209,0.349353119,10
2016,XMN,0.037792639,0.264012934,11
2016,WUH,0.028542763,0.26197586,12
2016,NKG,0.026251479,0.267097356,13
2016,URC,0.014181561,0.258908386,14
2016,CSX,0.022102762,0.255729059,15
2016,TAO,0.036663944,0.238649498,16
2016,CGO,0.01399175,0.272686599,17
2016,HAK,0.008541475,0.215387536,18
2016,TSN,0.028108911,0.195735363,19
2016,DLC,0.021160488,0.190840962,20
2016,HRB,0.010995455,0.193830479,21
2016,SYX,0.005046927,0.184807698,22
2016,SHE,0.017943877,0.169907569,23
2016,FOC,0.020336846,0.133467331,24
2016,NNG,0.014757771,0.140534385,25
2016,TNA,0.011185265,0.148764028,26
2016,NGB,0.013340971,0.088211069,27
2016,YNT,0.009575265,0.07389054,28
2016,WUX,0.008738065,0.063983107,29
2016,JJN,0.008365223,0.04462243,30
2017,PEK,0.21748562,0.754615617,1
2017,PVG,0.325969135,0.433429029,2
2017,CAN,0.159820493,0.590426091,3
2017,KMG,0.044202135,0.556819453,4
2017,CTU,0.050455715,0.503333548,5
2017,SZX,0.042731103,0.482898407,6
2017,XIY,0.017893035,0.520331762,7
2017,SHA,0.0257295,0.413810752,8
2017,CKG,0.029752806,0.448135959,9
2017,HGH,0.04326325,0.374228471,10
2017,XMN,0.04036525,0.267151587,11
2017,WUH,0.027254763,0.277445421,12
2017,NKG,0.028827479,0.298755046,13
2017,URC,0.012883392,0.268341293,14
2017,CSX,0.021862109,0.273761062,15
2017,TAO,0.037114744,0.258311838,16
2017,CGO,0.011561497,0.303144415,17
2017,HAK,0.012473266,0.251248174,18
2017,TSN,0.024871963,0.241357688,19
2017,DLC,0.019865709,0.214899451,20
2017,HRB,0.009473581,0.219722673,21
2017,SYX,0.007063664,0.192671279,22
2017,SHE,0.014310361,0.195748921,23
2017,FOC,0.020587667,0.137355058,24
2017,NNG,0.013510445,0.163911589,25
2017,TNA,0.00941596,0.177866055,26
2017,NGB,0.013042697,0.104683915,27
2017,YNT,0.009426128,0.09297667,28
2017,WUX,0.009914212,0.074826035,29
2017,JJN,0.008982107,0.061013927,30
2018,PEK,0.226267748,0.773732252,1
2018,PVG,0.340560822,0.432703682,2
2018,CAN,0.172161569,0.597320282,3
2018,KMG,0.054343442,0.55142341,4
2018,CTU,0.054665442,0.525666794,5
2018,SZX,0.054862031,0.499303463,6
2018,XIY,0.024526236,0.525663405,7
2018,SHA,0.02572611,0.417905237,8
2018,CKG,0.03456247,0.464208846,9
2018,HGH,0.049862557,0.387535547,10
2018,XMN,0.043334429,0.277747084,11
2018,WUH,0.028474974,0.282017822,12
2018,NKG,0.032359311,0.317061597,13
2018,URC,0.012358023,0.284197254,14
2018,CSX,0.026600595,0.282434727,15
2018,TAO,0.040572008,0.261962302,16
2018,CGO,0.017123624,0.323176209,17
2018,HAK,0.013723982,0.263209629,18
2018,TSN,0.028668174,0.257932217,19
2018,DLC,0.021170657,0.220892042,20
2018,HRB,0.01018876,0.235029539,21
2018,SYX,0.008738065,0.194959174,22
2018,SHE,0.017676109,0.210113513,23
2018,FOC,0.025556636,0.155454851,24
2018,NNG,0.014771329,0.173205528,25
2018,TNA,0.013290129,0.195898058,26
2018,NGB,0.013961245,0.124837729,27
2018,YNT,0.010351455,0.114557453,28
2018,WUX,0.01128695,0.078042646,29
2018,JJN,0.012273287,0.083787805,30
