year	category	n	n2
2004	"clothing, beauty, & fashion"	141	1200
2004	computers & internet	2489	1200
2004	education	151	1200
2004	food & drink	275	1200
2004	grab bag	285	1200
2004	health & fitness	379	1200
2004	home & garden	344	1200
2004	human relations	245	1200
2004	law & government	292	1200
2004	media & arts	825	1200
2004	pets & animals	127	1200
2004	religion & philosophy	63	1200
2004	science & nature	133	1200
2004	shopping	345	1200
2004	society & culture	250	1200
2004	"sports, hobbies, & recreation"	241	1200
2004	technology	446	1200
2004	travel & transportation	491	1200
2004	work & money	400	1200
2004	writing & language	241	1200
2005	"clothing, beauty, & fashion"	203	1200
2005	computers & internet	2200	1200
2005	education	201	1200
2005	food & drink	324	1200
2005	grab bag	248	1200
2005	health & fitness	590	1200
2005	home & garden	476	1200
2005	human relations	376	1200
2005	law & government	264	1200
2005	media & arts	987	1200
2005	pets & animals	153	1200
2005	religion & philosophy	74	1200
2005	science & nature	195	1200
2005	shopping	242	1200
2005	society & culture	296	1200
2005	"sports, hobbies, & recreation"	324	1200
2005	technology	617	1200
2005	travel & transportation	660	1200
2005	work & money	515	1200
2005	writing & language	285	1200
2006	"clothing, beauty, & fashion"	195	1200
2006	computers & internet	2114	1200
2006	education	190	1200
2006	food & drink	353	1200
2006	grab bag	263	1200
2006	health & fitness	612	1200
2006	home & garden	379	1200
2006	human relations	411	1200
2006	law & government	291	1200
2006	media & arts	838	1200
2006	pets & animals	132	1200
2006	religion & philosophy	85	1200
2006	science & nature	203	1200
2006	shopping	208	1200
2006	society & culture	273	1200
2006	"sports, hobbies, & recreation"	360	1200
2006	technology	528	1200
2006	travel & transportation	631	1200
2006	work & money	572	1200
2006	writing & language	227	1200
2007	"clothing, beauty, & fashion"	296	1200
2007	computers & internet	2402	1200
2007	education	352	1200
2007	food & drink	541	1200
2007	grab bag	394	1200
2007	health & fitness	890	1200
2007	home & garden	634	1200
2007	human relations	678	1200
2007	law & government	360	1200
2007	media & arts	1141	1200
2007	pets & animals	202	1200
2007	religion & philosophy	100	1200
2007	science & nature	227	1200
2007	shopping	311	1200
2007	society & culture	361	1200
2007	"sports, hobbies, & recreation"	472	1200
2007	technology	743	1200
2007	travel & transportation	935	1200
2007	work & money	861	1200
2007	writing & language	347	1200
2008	"clothing, beauty, & fashion"	432	1200
2008	computers & internet	2852	1200
2008	education	441	1200
2008	food & drink	687	1200
2008	grab bag	560	1200
2008	health & fitness	986	1200
2008	home & garden	733	1200
2008	human relations	947	1200
2008	law & government	523	1200
2008	media & arts	1449	1200
2008	pets & animals	269	1200
2008	religion & philosophy	120	1200
2008	science & nature	284	1200
2008	shopping	389	1200
2008	society & culture	452	1200
2008	"sports, hobbies, & recreation"	615	1200
2008	technology	917	1200
2008	travel & transportation	1116	1200
2008	work & money	1137	1200
2008	writing & language	447	1200
2009	"clothing, beauty, & fashion"	489	1200
2009	computers & internet	2592	1200
2009	education	521	1200
2009	food & drink	844	1200
2009	grab bag	580	1200
2009	health & fitness	1207	1200
2009	home & garden	897	1200
2009	human relations	1140	1200
2009	law & government	500	1200
2009	media & arts	1577	1200
2009	pets & animals	285	1200
2009	religion & philosophy	119	1200
2009	science & nature	294	1200
2009	shopping	355	1200
2009	society & culture	429	1200
2009	"sports, hobbies, & recreation"	662	1200
2009	technology	963	1200
2009	travel & transportation	1206	1200
2009	work & money	1353	1200
2009	writing & language	466	1200
2010	"clothing, beauty, & fashion"	410	1200
2010	computers & internet	2046	1200
2010	education	488	1200
2010	food & drink	724	1200
2010	grab bag	535	1200
2010	health & fitness	1132	1200
2010	home & garden	774	1200
2010	human relations	1154	1200
2010	law & government	420	1200
2010	media & arts	1283	1200
2010	pets & animals	251	1200
2010	religion & philosophy	92	1200
2010	science & nature	272	1200
2010	shopping	337	1200
2010	society & culture	386	1200
2010	"sports, hobbies, & recreation"	532	1200
2010	technology	783	1200
2010	travel & transportation	1022	1200
2010	work & money	1048	1200
2010	writing & language	398	1200
2011	"clothing, beauty, & fashion"	406	1200
2011	computers & internet	1777	1200
2011	education	426	1200
2011	food & drink	689	1200
2011	grab bag	491	1200
2011	health & fitness	1110	1200
2011	home & garden	769	1200
2011	human relations	1184	1200
2011	law & government	385	1200
2011	media & arts	1279	1200
2011	pets & animals	272	1200
