name,level,volume,rent,cityClassify
杭州市,13509.2,83.15,2,highlight
深圳市,24221.98,71.14,2,highlight
上海市,32679.87,68.54,2,highlight
北京市,30320,67.7,2,highlight
广州市,22859.35,67.53,2,normal
苏州市,18597.5,65.08,2,normal
武汉市,14847.29,64.64,2,normal
南京市,12820.4,64.4,2,normal
宁波市,10745.5,64.22,2,normal
郑州市,10143.32,62.78,2,normal
厦门市,4791.41,57.57,2,normal
成都市,15342.77,56.84,2,normal
无锡市,11438.62,53.9,2,normal
合肥市,7822.9,52.47,2,normal
青岛市,12001.5,52.18,2,normal
西安市,8349.86,50.9,2,normal
济南市,7856.56,50.81,2,normal
南昌市,5274.67,49.08,2,normal
长沙市,11003.41,48.97,2,normal
福州市,7856.81,48.39,2,normal
天津市,18809.64,47.58,2,normal
石家庄市,6082.6,47.43,2,normal
重庆市,20363.19,43.43,2,normal
贵阳市,3798.45,40.52,2,normal
长春市,7175.7,39.2,2,normal
太原市,3884.48,39.01,2,normal
海口市,1510.51,37.58,2,normal
沈阳市,6292.4,37.38,2,normal
昆明市,5206.9,36.73,2,normal
南宁市,4480,36.52,2,normal
大连市,7668.5,34.28,2,normal
银川市,1901.48,29.75,2,normal
哈尔滨市,6300.5,29.58,2,normal
呼和浩特市,2903.5,29.3,2,normal
兰州市,2732.94,27.99,2,normal
乌鲁木齐市,3099.77,25.8,2,normal
西宁市,1286.41,25.74,2,normal
拉萨市,540.78,22.75,2,normal
广州市,72.92 ,85.45 ,1,normal
杭州市,67.59 ,83.45 ,1,normal
上海市,71.70 ,88.46 ,1,normal
宁波市,86.08 ,74.89 ,1,normal
苏州市,87.65 ,85.95 ,1,normal
济南市,57.21 ,98.52 ,1,normal
无锡市,78.46 ,85.95 ,1,normal
深圳市,0.00 ,100.00 ,1,normal
青岛市,66.70 ,98.52 ,1,normal
北京市,61.05 ,82.43 ,1,normal
南京市,53.53 ,89.51 ,1,normal
厦门市,52.47 ,75.40 ,1,normal
福州市,69.74 ,75.40 ,1,normal
石家庄市,80.84 ,51.27 ,1,normal
成都市,65.28 ,68.36 ,1,normal
郑州市,69.91 ,51.77 ,1,normal
天津市,64.92 ,77.91 ,1,normal
武汉市,59.46 ,46.75 ,1,normal
重庆市,51.50 ,80.42 ,1,normal
合肥市,52.28 ,42.22 ,1,normal
南昌市,72.11 ,30.66 ,1,normal
沈阳市,48.14 ,51.77 ,1,normal
大连市,48.93 ,51.77 ,1,normal
长沙市,44.10 ,27.65 ,1,normal
西安市,55.07 ,30.66 ,1,normal
南宁市,64.59 ,17.09 ,1,normal
太原市,67.56 ,34.68 ,1,normal
哈尔滨市,76.04 ,19.60 ,1,normal
呼和浩特市,64.39 ,35.69 ,1,normal
昆明市,40.79 ,0.00 ,1,normal
长春市,54.03 ,29.15 ,1,normal
海口市,47.52 ,15.58 ,1,normal
银川市,61.04 ,20.61 ,1,normal
贵阳市,58.56 ,18.09 ,1,normal
西宁市,66.82 ,10.56 ,1,normal
兰州市,49.90 ,5.53 ,1,normal
乌鲁木齐市,26.87 ,0.00 ,1,normal
拉萨市,15.40 ,1.51 ,1,normal
