letter,frequency
九江庐山,0
忻州五台山,3.088888835
日照山字河,2.214814883
秦皇岛北戴河,1.543290087
塔城塔城,1.166666713
二连浩特赛乌素,1.041666645
凯里黄平,1.026049978
博乐阿拉山口,1.000000024
阿勒泰阿勒泰,0.944444468
吐鲁番交河,0.914814845
保山云瑞,0.847222241
库车龟兹,0.777777814
伊宁伊宁,0.74140213
汉中城固,0.735930745
西昌青山,0.735042744
惠州平潭,0.713184491
那拉提那拉提,0.66666663
宁蒗泸沽湖,0.66666663
衡阳南岳,0.64722224
和田和田,0.611111142
文山普者黑,0.611111116
永州零陵,0.569444455
恩施许家坪,0.565656572
衢州衢州,0.55555558
日喀则日喀则,0.499999997
张家口宁远,0.495448173
淮安涟水,0.463247877
克拉玛依克拉玛依,0.451851861
天水麦积山,0.444444458
普洱思茅,0.444444458
锦州锦州湾,0.436507947
库尔勒库尔勒,0.429563511
吕梁大武,0.426851863
铜仁凤凰,0.422152567
邯郸邯郸,0.416666684
乌海乌海,0.409090895
延安南泥湾,0.408333346
阿拉善左旗巴彦浩特,0.379629622
阿克苏温宿,0.359523816
常德桃花源,0.346801372
襄阳刘集,0.337010882
阿坝红原,0.333333382
海西德令哈,0.333333328
临沧临沧,0.33333331
南通兴东,0.31536963
梅县长岗岌,0.291666687
昭通昭通,0.2888889
攀枝花保安营,0.277777797
宁波栎社,0.275892756
东营胜利,0.274470902
万州五桥,0.27167279
巴彦淖尔天吉泰,0.266666671
兰州中川,0.266249384
揭阳潮汕,0.264104558
大理大理,0.263689429
牡丹江海浪,0.263528149
徐州观音,0.262156874
洛阳北郊,0.259920649
兴义兴义,0.256613763
济南遥墙,0.25636612
百色巴马,0.25000002
庆阳庆阳,0.246031769
南充高坪,0.243452393
宜昌三峡,0.243253974
湛江湛江,0.242962979
珠海金湾,0.242500313
唐山三女河,0.242424247
南宁吴圩,0.241381055
温州龙湾,0.239336698
扬州泰州,0.235493418
济宁曲阜,0.234558829
林芝米林,0.228205135
大同云冈,0.226890776
遵义新舟,0.224025274
金昌金川,0.222222235
喀什喀什,0.222222229
赣州黄金,0.22023811
西双版纳嘎洒,0.219468953
贵阳龙洞堡,0.216952143
台州路桥,0.215455845
泉州晋江,0.2130594
鞍山腾鳌,0.20580809
达州河市,0.205555564
盐城南洋,0.205422097
上海浦东,0.203712297
佳木斯东郊,0.202380975
德宏芒市,0.199999999
六盘水月照,0.199730104
池州九华山,0.1984127
威海大水泊,0.19774031
福州长乐,0.195849171
南京禄口,0.1956735
南昌昌北,0.19564609
沈阳桃仙,0.194186893
连云港白塔埠,0.192861964
怀化芷江,0.191737899
哈密哈密,0.18981483
乌兰浩特义勒力特,0.189814819
天津滨海,0.186736015
安庆安庆,0.18560607
银川河东,0.18285339
郑州新郑,0.178769461
无锡硕放,0.177892168
腾冲驼峰,0.177777786
武汉天河,0.174844732
西安咸阳,0.173468978
连城冠豸山,0.169047624
烟台蓬莱,0.168817102
青岛流亭,0.168619591
毕节飞雄,0.16816189
南阳姜营,0.167302115
富蕴可可托海,0.166666685
安顺黄果树,0.166666676
黑河黑河,0.166666675
甘南夏河,0.16666667
抚远东极,0.166666656
黔江武陵山,0.163359803
合肥新桥,0.162973957
乌鲁木齐地窝堡,0.160732335
成都双流,0.159014788
阜阳阜阳,0.157287171
北京首都,0.157179034
潍坊潍坊,0.155555563
运城张孝,0.155006938
黎平黎平,0.154761912
朝阳朝阳,0.152777786
重庆江北,0.152549374
丽江三义,0.152045433
石家庄正定,0.151316465
西宁曹家堡,0.150936383
景德镇罗家,0.150000007
杭州萧山,0.149703088
海口美兰,0.148607832
绵阳南郊,0.145845209
长沙黄花,0.143048883
大连周水子,0.142983824
昆明长水,0.142827449
呼和浩特白塔,0.140919899
北海福成,0.139394994
井冈山井冈山,0.134680145
鄂尔多斯伊金霍洛,0.13337996
哈尔滨太平,0.133127582
桂林两江,0.132378741
大庆萨尔图,0.130621708
长治王村,0.129294462
通辽通辽,0.12698414
深圳宝安,0.123585548
#N/A,0.122222232
广州白云,0.120570605
包头二里半,0.117735523
加格达奇加格达奇,0.111111135
宜春明月山,0.111111127
布尔津喀纳斯,0.111111115
常州奔牛,0.110159296
榆林榆阳,0.109068641
三亚凤凰,0.108768665
太原武宿,0.108735181
泸州云龙,0.108169948
宜宾菜坝,0.105555568
长春龙嘉,0.103227437
昌都邦达,0.103174624
张家界荷花,0.099478432
齐齐哈尔三家子,0.09706961
厦门高崎,0.09514554
嘉峪关嘉峪关,0.086970903
武夷山武夷山,0.084110342
鸡西兴凯湖,0.083333345
延吉朝阳川,0.079307584
满洲里西郊,0.077549541
临沂沭埠岭,0.077525264
锡林浩特锡林浩特,0.076785711
舟山普陀山,0.073504279
北京南苑,0.072541096
广元盘龙,0.066666673
阿尔山伊尔施,0.061111113
白山长白山,0.060941888
义乌义乌,0.058241319
迪庆香格里拉,0.053439158
固原六盘山,0.047619059
黄山屯溪,0.037480072
赤峰玉龙,0.037301595
通化三源浦,0.027777792
呼伦贝尔东山,0.020572966
上海虹桥,0.008929995
阿里昆莎,5.63889E-09
玉树巴塘,0
拉萨贡嘎,-0.003668753
柳州白莲,-0.0132045
黔南州荔波,-0.027777766
河池金城江,-0.055555555
格尔木格尔木,-0.055555561
甘孜康定,-0.066666653
佛山沙堤,-0.071732023
漠河古莲,-0.083333335
中卫香山,-0.084126977
张掖甘州,-0.103174609
敦煌敦煌,-0.110256405
稻城亚丁,-0.122222203
丹东浪头,-0.147863237
神农架红坪,-0.166666658
阿拉善右旗巴丹吉林,-0.166666664
九寨黄龙,-0.214393947
额济纳旗桃来,-0.277777783
梧州长州岛,-0.6
,
