year,category,international,domestic,rank,airport_name
2015,PVG,88211,117566,1,上海浦东机场
2015,PEK,58332,225849,2,北京首都机场
2015,CAN,34710,160609,3,广州白云机场
2015,HGH,12140,96765,4,杭州萧山机场
2015,CTU,11404,131761,5,成都双流机场
2015,XMN,10256,77394,6,厦门高崎机场
2015,TAO,10003,64675,7,青岛流亭机场
2015,KMG,9137,144634,8,昆明长水机场
2015,SZX,7648,132761,9,深圳宝安机场
2015,SHA,7318,119439,10,上海虹桥机场
2015,TSN,6969,49380,11,天津滨海机场
2015,CKG,6586,118393,12,重庆江北机场
2015,WUH,6517,73869,13,武汉天河机场
2015,NKG,6430,69740,14,南京禄口机场
2015,DLC,6263,49655,15,大连周水子机场
2015,FOC,5326,39225,16,福州长乐机场
2015,XIY,4863,130327,17,西安咸阳机场
2015,SHE,4830,42953,18,沈阳桃仙机场
2015,CSX,4650,70273,19,长沙黄花机场
2015,URC,4193,71916,20,乌鲁木齐地窝堡机场
2015,CGO,4106,69507,21,郑州新郑机场
2015,NNG,3672,38730,22,南宁吴圩机场
2015,NGB,3658,22896,23,宁波栎社机场
2015,HRB,3143,50556,24,哈尔滨太平机场
2015,YNT,2572,19144,25,烟台蓬莱机场
2015,JJN,2448,12883,26,泉州晋江机场
2015,TNA,2423,37946,27,济南遥墙机场
2015,HAK,1993,56050,28,海口美兰机场
2015,WUX,1904,16143,29,无锡硕放机场
2015,SYX,782,52567,30,三亚凤凰机场
2016,PVG,94905,123773,1,上海浦东机场
2016,PEK,62406,228592,2,北京首都机场
2016,CAN,40503,166573,3,广州白云机场
2016,CTU,14491,140740,4,成都双流机场
2016,HGH,13357,103070,5,杭州萧山机场
2016,XMN,11150,77892,6,厦门高崎机场
2016,TAO,10817,70409,7,青岛流亭机场
2016,KMG,10088,151372,8,昆明长水机场
2016,SZX,9801,135859,9,深圳宝安机场
2016,CKG,8599,127287,10,重庆江北机场
2016,WUH,8421,77291,11,武汉天河机场
2016,TSN,8293,57748,12,天津滨海机场
2016,SHA,7756,120484,13,上海虹桥机场
2016,NKG,7745,78802,14,南京禄口机场
2016,CSX,6521,75448,15,长沙黄花机场
2016,DLC,6243,56304,16,大连周水子机场
2016,FOC,6000,39377,17,福州长乐机场
2016,XIY,5967,137341,18,西安咸阳机场
2016,SHE,5294,50128,19,沈阳桃仙机场
2016,NNG,4354,41462,20,南宁吴圩机场
2016,URC,4184,76386,21,乌鲁木齐地窝堡机场
2016,CGO,4128,80451,22,郑州新郑机场
2016,NGB,3936,26025,23,宁波栎社机场
2016,TNA,3300,43890,24,济南遥墙机场
2016,HRB,3244,57186,25,哈尔滨太平机场
2016,YNT,2825,21800,26,烟台蓬莱机场
2016,WUX,2578,18877,27,无锡硕放机场
2016,HAK,2520,63546,28,海口美兰机场
2016,JJN,2468,13165,29,泉州晋江机场
2016,SYX,1489,54524,30,三亚凤凰机场
2017,PVG,96171,127875,1,上海浦东机场
2017,PEK,64165,222635,2,北京首都机场
2017,CAN,47152,174194,3,广州白云机场
2017,CTU,14886,148499,4,成都双流机场
2017,KMG,13041,164279,5,昆明长水机场
2017,HGH,12764,110409,6,杭州萧山机场
2017,SZX,12607,142470,7,深圳宝安机场
2017,XMN,11909,78818,8,厦门高崎机场
2017,TAO,10950,76210,9,青岛流亭机场
2017,CKG,8778,132214,10,重庆江北机场
2017,NKG,8505,88142,11,南京禄口机场
2017,WUH,8041,81855,12,武汉天河机场
2017,SHA,7591,122087,13,上海虹桥机场
2017,TSN,7338,71208,14,天津滨海机场
2017,CSX,6450,80768,15,长沙黄花机场
2017,FOC,6074,40524,16,福州长乐机场
2017,DLC,5861,63402,17,大连周水子机场
2017,XIY,5279,153514,18,西安咸阳机场
2017,SHE,4222,57752,19,沈阳桃仙机场
2017,NNG,3986,48359,20,南宁吴圩机场
2017,NGB,3848,30885,21,宁波栎社机场
2017,URC,3801,79169,22,乌鲁木齐地窝堡机场
2017,HAK,3680,74126,23,海口美兰机场
2017,CGO,3411,89437,24,郑州新郑机场
2017,WUX,2925,22076,25,无锡硕放机场
2017,HRB,2795,64825,26,哈尔滨太平机场
2017,YNT,2781,27431,27,烟台蓬莱机场
2017,TNA,2778,52476,28,济南遥墙机场
2017,JJN,2650,18001,29,泉州晋江机场
2017,SYX,2084,56844,30,三亚凤凰机场
2018,PVG,100476,127661,1,上海浦东机场
2018,PEK,66756,228275,2,北京首都机场
2018,CAN,50793,176228,3,广州白云机场
2018,SZX,16186,147310,4,深圳宝安机场
2018,CTU,16128,155088,5,成都双流机场
2018,KMG,16033,162687,6,昆明长水机场
2018,HGH,14711,114335,7,杭州萧山机场
2018,XMN,12785,81944,8,厦门高崎机场
2018,TAO,11970,77287,9,青岛流亭机场
2018,CKG,10197,136956,10,重庆江北机场
2018,NKG,9547,93543,11,南京禄口机场
2018,TSN,8458,76098,12,天津滨海机场
2018,WUH,8401,83204,13,武汉天河机场
2018,CSX,7848,83327,14,长沙黄花机场
2018,SHA,7590,123295,15,上海虹桥机场
2018,FOC,7540,45864,16,福州长乐机场
2018,XIY,7236,155087,17,西安咸阳机场
2018,DLC,6246,65170,18,大连周水子机场
2018,SHE,5215,61990,19,沈阳桃仙机场
2018,CGO,5052,95347,20,郑州新郑机场
2018,NNG,4358,51101,21,南宁吴圩机场
2018,NGB,4119,36831,22,宁波栎社机场
2018,HAK,4049,77655,23,海口美兰机场
2018,TNA,3921,57796,24,济南遥墙机场
2018,URC,3646,83847,25,乌鲁木齐地窝堡机场
2018,JJN,3621,24720,26,泉州晋江机场
2018,WUX,3330,23025,27,无锡硕放机场
2018,YNT,3054,33798,28,烟台蓬莱机场
2018,HRB,3006,69341,29,哈尔滨太平机场
2018,SYX,2578,57519,30,三亚凤凰机场
