id,code_1,code_2,airport_1,airport_2,total_flights,lat_1,lng_1,lat_2,lng_2,region
PEK-SHA,PEK,SHA,北京首都机场,上海虹桥机场,28711,40.084152,116.592735,31.196099,121.339766,N
PEK-CTU,PEK,CTU,北京首都机场,成都双流机场,24349,40.084152,116.592735,30.57852,103.946999,N
PEK-SZX,PEK,SZX,北京首都机场,深圳宝安机场,22394,40.084152,116.592735,22.63925,113.8106,N
PEK-CAN,PEK,CAN,北京首都机场,广州白云机场,20472,40.084152,116.592735,23.392429,113.298698,N
PEK-HGH,PEK,HGH,北京首都机场,杭州萧山机场,18051,40.084152,116.592735,30.2295,120.434402,N
PEK-XIY,PEK,XIY,北京首都机场,西安咸阳机场,16577,40.084152,116.592735,34.438157,108.764819,N
PEK-CKG,PEK,CKG,北京首都机场,重庆江北机场,16177,40.084152,116.592735,29.71921,106.641602,N
PEK-KMG,PEK,KMG,北京首都机场,昆明长水机场,14275,40.084152,116.592735,25.101944,102.929169,N
PEK-HRB,PEK,HRB,北京首都机场,哈尔滨太平机场,13677,40.084152,116.592735,45.623402,126.250298,N
PEK-URC,PEK,URC,北京首都机场,乌鲁木齐地窝堡机场,11615,40.084152,116.592735,43.907101,87.474243,N
HRB-PEK,HRB,PEK,哈尔滨太平机场,北京首都机场,13677,45.623402,126.250298,40.084152,116.592735,NE
HRB-PVG,HRB,PVG,哈尔滨太平机场,上海浦东机场,11318,45.623402,126.250298,31.14337,121.805199,NE
HRB-TAO,HRB,TAO,哈尔滨太平机场,青岛流亭机场,8902,45.623402,126.250298,36.266102,120.374397,NE
HRB-TNA,HRB,TNA,哈尔滨太平机场,济南遥墙机场,7577,45.623402,126.250298,36.857208,117.215897,NE
HRB-NKG,HRB,NKG,哈尔滨太平机场,南京禄口机场,6053,45.623402,126.250298,31.742041,118.862,NE
HRB-HGH,HRB,HGH,哈尔滨太平机场,杭州萧山机场,5271,45.623402,126.250298,30.2295,120.434402,NE
HRB-YNT,HRB,YNT,哈尔滨太平机场,烟台蓬莱机场,5080,45.623402,126.250298,37.657223,120.987221,NE
HRB-CGO,HRB,CGO,哈尔滨太平机场,郑州新郑机场,4969,45.623402,126.250298,34.519669,113.840797,NE
HRB-TSN,HRB,TSN,哈尔滨太平机场,天津滨海机场,4655,45.623402,126.250298,39.124352,117.3461,NE
HRB-CAN,HRB,CAN,哈尔滨太平机场,广州白云机场,4216,45.623402,126.250298,23.392429,113.298698,NE
XIY-PEK,XIY,PEK,西安咸阳机场,北京首都机场,16577,34.438157,108.764819,40.084152,116.592735,NW
XIY-CAN,XIY,CAN,西安咸阳机场,广州白云机场,14252,34.438157,108.764819,23.392429,113.298698,NW
XIY-SZX,XIY,SZX,西安咸阳机场,深圳宝安机场,11778,34.438157,108.764819,22.63925,113.8106,NW
XIY-URC,XIY,URC,西安咸阳机场,乌鲁木齐地窝堡机场,11429,34.438157,108.764819,43.907101,87.474243,NW
XIY-UYN,XIY,UYN,西安咸阳机场,榆林榆阳机场,10935,34.438157,108.764819,38.358264,109.599254,NW
XIY-SHA,XIY,SHA,西安咸阳机场,上海虹桥机场,10141,34.438157,108.764819,31.196099,121.339766,NW
XIY-INC,XIY,INC,西安咸阳机场,银川河东机场,9871,34.438157,108.764819,38.322769,106.393303,NW
XIY-KMG,XIY,KMG,西安咸阳机场,昆明长水机场,9346,34.438157,108.764819,25.101944,102.929169,NW
XIY-HGH,XIY,HGH,西安咸阳机场,杭州萧山机场,9046,34.438157,108.764819,30.2295,120.434402,NW
XIY-XNN,XIY,XNN,西安咸阳机场,西宁曹家堡机场,8865,34.438157,108.764819,36.525322,102.037537,NW
PVG-DLC,PVG,DLC,上海浦东机场,大连国际机场,15295,31.14337,121.805199,38.96566,121.538597,E
PVG-SHE,PVG,SHE,上海浦东机场,沈阳桃仙机场,13629,31.14337,121.805199,41.639839,123.483398,E
PVG-CTU,PVG,CTU,上海浦东机场,成都双流机场,12193,31.14337,121.805199,30.57852,103.946999,E
PVG-HRB,PVG,HRB,上海浦东机场,哈尔滨太平机场,11318,31.14337,121.805199,45.623402,126.250298,E
PVG-CGQ,PVG,CGQ,上海浦东机场,长春龙嘉机场,10935,31.14337,121.805199,43.996208,125.685303,E
PVG-CKG,PVG,CKG,上海浦东机场,重庆江北机场,9932,31.14337,121.805199,29.71921,106.641602,E
PVG-XIY,PVG,XIY,上海浦东机场,西安咸阳机场,8902,31.14337,121.805199,34.438157,108.764819,E
