airport,2015_passenger_throughput,2016_passenger_throughput,2017_passenger_throughput,2018_passenger_throughput,airport_code,airport_lat,airport_lng,,,
北京首都,89939049,94393454,95786296,100983290,PEK,40.084152,116.592735,,可视化说明：,2015-2018年全国各大机场吞吐量
上海浦东,60098073,66002414,70001237,74006331,PVG,31.14337,121.805199,,,地图打点
广州白云,55201915,59732147,65806977,69720403,CAN,23.392429,113.298698,,图例说明：,2015_passenger_throughput代表2015年旅客吞吐量（人次）
成都双流,42239468,46039037,49801693,52950529,CTU,30.57852,103.946999,,,
深圳宝安,39721619,41975090,45610651,49348950,SZX,22.63925,113.8106,,,
上海虹桥,39090865,40460135,41884059,43628004,SHA,31.196099,121.339766,,,
昆明长水,37523098,41980339,44727691,47088140,KMG,25.101944,102.929169,,,
西安咸阳,32970215,36994506,41857229,44653311,XIY,34.438157,108.764819,,,
重庆江北,32402196,35888819,38715210,41595887,CKG,29.71921,106.641602,,,
杭州萧山,28354435,31594959,35570411,38241630,HGH,30.2295,120.434402,,,
厦门高崎,21814244,22737610,24485239,26553438,XMN,24.544029,118.127701,,,
南京禄口,19163768,22357998,25822936,28581546,NKG,31.742041,118.862,,,
武汉天河,18942038,20771564,23129400,24500356,WUH,30.783751,114.208099,,,
长沙黄花,18715278,21296675,23764820,25266251,CSX,28.196667,113.220833,,,
乌鲁木齐地窝堡,18506463,20200767,21500901,23027788,URC,43.907101,87.474243,,,
青岛流亭,18202085,20505038,23210530,24535738,TAO,36.266102,120.374397,,,
郑州新郑,17297385,20763217,24299073,27334730,CGO,34.519669,113.840797,,,
三亚凤凰,16191930,17369550,19389936,20039035,SYX,18.302891,109.412201,,,
海口美兰,16167004,18803848,22584815,24123582,HAK,19.934851,110.4589,,,
天津滨海,14314322,16871889,21005001,23591412,TSN,39.124352,117.3461,,,
大连周水子,14154130,15258209,17503810,18758171,DLC,38.96566,121.538597,,,
哈尔滨太平,14054357,16267130,18810317,20431432,HRB,45.623402,126.250298,,,
贵阳龙洞堡,13244982,15105225,18109610,20094681,KWE,26.538521,106.800697,,,
沈阳桃仙,12680118,14967228,17342626,19027398,SHE,41.639839,123.483398,,,
福州长乐,10887292,11606446,12469235,14393532,FOC,25.935061,119.6632,,,
南宁吴圩,10393728,11559860,13915542,15091614,NNG,22.608259,108.172401,,,
济南遥墙,9520887,11616914,14319264,16611795,TNA,36.857208,117.215897,,,
太原武宿,8842987,9847840,12401086,13588423,TYN,37.746891,112.628403,,,
长春龙嘉,8556182,9493351,11662943,12969503,CGQ,43.996208,125.685303,,,
兰州中川,8009040,10897025,12816443,13858151,LHW,36.51524,103.620697,,,
南昌昌北,7487930,7863635,10937105,13524159,KHN,28.865,115.900002,,,
呼和浩特白塔,7446250,8185210,10348617,12159175,HET,40.853503,111.826381,,,
温州龙湾,7360467,8189717,9285621,11218701,WNZ,27.91222,120.851898,,,
宁波栎社,6855075,7792305,9390527,11718416,NGB,29.826679,121.461899,,,
合肥新桥,6613111,7391998,9147128,11110596,HFE,31.986345,116.970474,,,
桂林两江,6361045,6630251,7862015,8732176,KWL,25.2181,110.039101,,,
石家庄正定,5985389,7214590,9582921,11332518,SJW,38.274376,114.694427,,,
丽江三义,5626307,6784474,7105345,7529935,LJG,26.683332,100.25,,,
银川河东,5389908,6341479,7936445,8944837,INC,38.322769,106.393303,,,
北京南苑,5265201,5586388,5953883,6512740,NAY,40.084152,116.592735,,,
珠海金湾,4708706,6130384,9216808,11220703,ZUH,22.00666,113.376297,,,
无锡硕放,4609344,5561927,6683380,7207529,WUX,31.492889,120.424377,,,
烟台蓬莱,4246581,5135200,6503015,8433179,YNT,37.657223,120.987221,,,
西双版纳嘎洒,4150734,4335339,3990867,4446247,JHG,21.972467,100.76475,,,
西宁曹家堡,4005667,4681138,5627696,6339622,XNN,36.525322,102.037537,,,
泉州晋江,3635607,3793150,5340586,7443161,JJN,24.794776,118.593069,,,
揭阳潮汕,3204464,3818152,4851015,6493930,SWA,23.5525,116.505836,,,
拉萨贡嘎,2908416,3339429,3718350,4353948,LXA,29.29777,90.911942,,,
包头二里半,1901035,1867690,2089009,2032157,BAV,40.55999,109.996902,,,
呼伦贝尔东山,1835915,1878901,2169197,2328816,HLD,49.209334,119.830223,,,
常州奔牛,1810842,1955844,2510512,3327722,CZX,31.91972,119.778603,,,
喀什,1732958,1815091,2048004,2060100,KHG,39.541251,76.024599,,,
绵阳南郊,1547533,2172922,3543403,3938882,MIG,31.428986,104.743592,,,
鄂尔多斯伊金霍洛,1522697,1706356,2105842,2475281,DSN,39.495789,109.867412,,,
榆林榆阳,1483089,1513793,1771190,2090209,UYN,38.358264,109.599254,,,
延吉朝阳川,1458440,1481159,1411859,1513262,YNJ,42.885662,129.439362,,,
九寨黄龙,1416980,1122223,523130,21538,JZH,32.851353,103.685263,,,
张家界荷花,1405465,1701712,1773700,2209911,DYG,29.101431,110.447943,,,
德宏芒市,1323465,1537536,1652533,1813896,LUM,24.399322,98.532412,,,
威海大水泊,1320989,1735309,2037485,2508155,WEH,37.185852,122.234969,,,
徐州观音,1318477,1487086,1916517,2518799,XUZ,34.052925,117.554077,,,
大理,1262486,1431116,1581271,1776364,DLU,25.647097,100.320711,,,
宜昌三峡,1244275,1535707,2243812,2948668,YIH,30.556473,111.479942,,,
湛江,1206811,1503904,2090568,2559507,ZHA,21.214439,110.358299,,,
义乌,1196477,1226697,1294895,1635673,YIW,29.344563,120.028809,,,
库尔勒,1179185,1147634,1279829,1743761,KRL,41.618911,86.138043,,,
南通兴东,1161819,1538158,2009038,2771326,NTG,32.072922,120.975601,,,
北海福成,1078148,1234031,1711199,2282218,BHY,21.53944,109.2938,,,
阿克苏温宿,1067009,1103589,1276512,1292215,AKU,41.263252,80.293103,,,
临沂沐埠岭,1038437,1203387,1328071,2006104,LYI,35.046112,118.411667,,,
赤峰玉龙,987024,1042682,1209514,1572060,CIF,42.159704,118.846745,,,
伊宁,964446,1041470,1151337,1332536,YIN,43.957321,81.33329,,,
赣州黄金,925101,1083240,1279798,1625224,KOW,25.851667,114.776665,,,
扬州泰州,870775,1434193,1836515,2384382,YTY,32.563057,119.718887,,,
通辽,869550,710474,924759,983058,TGO,43.55666,122.199699,,,
柳州白莲,868802,1036219,1136021,1347142,LZH,24.204142,109.398889,,,
盐城南洋,851990,1209004,1302974,1822173,YNZ,33.385555,120.125275,,,
泸州蓝田,844624,985108,395575,#NA,LZO,29.030001,105.470001,,,
遵义,836614,1135432,#NA,#NA,WMT,27.59,106.999725,,,
运城张孝,814469,843226,1444590,2052654,YCU,35.116669,111.039719,,,
襄阳刘集,793425,824160,1027010,1406384,XFN,32.150551,112.290802,,,
洛阳北郊,721665,915971,880253,1313764,LYA,34.741112,112.388298,,,
和田,719831,935314,1030691,1217504,HTN,37.038007,79.868983,,,
宜宾菜坝,715973,762935,827867,974810,YBP,28.797781,104.550293,,,
连云港白塔埠,708963,850972,1092924,1516195,LYG,34.571659,118.873596,,,
腾冲驼峰,664448,805638,997372,1170230,TCZ,24.939379,98.482025,,,
牡丹江海浪,650991,694286,784991,933716,MDG,44.52,129.559998,,,
舟山普陀山,644719,800877,1023039,1209675,HSN,29.932602,122.364994,,,
长治王村,617888,741573,557142,690257,CIH,36.247454,113.131759,,,
黄山屯溪,591281,604911,725948,761230,TXN,29.730427,118.261088,,,
台州路桥,584708,691442,821965,1112199,HYN,28.559344,121.430963,,,
南阳姜营,567002,612572,781563,907505,NNY,32.98,112.610001,,,
毕节飞雄,563861,733605,1110613,1216557,BFJ,27.300278,105.301392,,,
万州五桥,553381,550727,656189,870042,WXN,30.799679,108.426949,,,
南充高坪,549802,597489,752668,942932,NAO,30.793442,106.168002,,,
大庆萨尔图,532379,489354,621053,831589,DQA,46.748684,125.139725,,,
井冈山,514175,540865,626775,658062,JGS,26.853279,114.742649,,,
淮安涟水,504753,861533,1286369,1516272,HIA,33.788792,119.131102,,,
迪庆香格里拉,503800,486640,570974,592253,DIG,27.789482,99.679921,,,
白山长白山,503598,537709,626884,549691,NBS,42.071926,127.609218,,,
武夷山,503090,455688,493460,643017,WUS,27.698972,118.004959,,,
佳木斯东郊,498777,455337,667788,865076,JMU,46.845709,130.470506,,,
景德镇罗家,490392,543371,621880,513632,JDZ,29.336129,117.181706,,,
济宁曲阜,487626,623948,970860,1221518,JNG,35.29364,116.353255,,,
锡林浩特,484643,582194,648455,622849,XIL,43.913873,115.966246,,,
大同云冈,470893,544530,640095,1016273,DAT,40.062064,113.486564,,,
潍坊,465181,540828,597763,724754,WEF,36.646822,119.122362,,,
乌兰浩特义勒力特,453742,573856,670814,737748,HLH,46.200408,122.007318,,,
