airport_code,airport_lat,airport_lng,city_Eng,city,airport,airport
PEK,40.084152,116.592735,Beijing_1,北京,首都,北京首都
PVG,31.14337,121.805199,Shanghai_1,上海,浦东,上海浦东
CAN,23.392429,113.298698,Guangzhou,广州,白云,广州白云
CTU,30.57852,103.946999,Chengdu,成都,双流,成都双流
SZX,22.63925,113.8106,Shenzhen,深圳,宝安,深圳宝安
KMG,25.101944,102.929169,Kunming,昆明,长水,昆明长水
SHA,31.196099,121.339766,Shanghai_2,上海,虹桥,上海虹桥
CKG,29.71921,106.641602,Chongqing,重庆,江北,重庆江北
HGH,30.2295,120.434402,Hangzhou,杭州,萧山,杭州萧山
NKG,31.742041,118.862,Nanjing,南京,禄口,南京禄口
CGO,34.519669,113.840797,Zhengzhou,郑州,新郑,郑州新郑
XMN,24.544029,118.127701,Xiamen,厦门,高崎,厦门高崎
CSX,28.196667,113.220833,Changsha,长沙,黄花,长沙黄花
TAO,36.266102,120.374397,Qingdao,青岛,流亭,青岛流亭
WUH,30.783751,114.208099,Wuhan,武汉,天河,武汉天河
HAK,19.934851,110.4589,Haikou,海口,美兰,海口美兰
TSN,39.124352,117.3461,Tianjin,天津,滨海,天津滨海
URC,43.907101,87.474243,Urumqi,乌鲁木齐,地窝堡,乌鲁木齐地窝堡
HRB,45.623402,126.250298,Harbin,哈尔滨,太平,哈尔滨太平
KWE,26.538521,106.800697,Guiyang,贵阳,龙洞堡,贵阳龙洞堡
SYX,18.302891,109.412201,Sanya,三亚,凤凰,三亚凤凰
SHE,41.639839,123.483398,Shenyang,沈阳,桃仙,沈阳桃仙
DLC,38.96566,121.538597,Dalian,大连,周水子,大连周水子
TNA,36.857208,117.215897,Jinan,济南,遥墙,济南遥墙
NNG,22.608259,108.172401,Nanning,南宁,吴圩,南宁吴圩
FOC,25.935061,119.6632,Fuzhou,福州,长乐,福州长乐
LHW,36.51524,103.620697,Lanzhou,兰州,中川,兰州中川
TYN,37.746891,112.628403,Taiyuan,太原,武宿,太原武宿
KHN,28.865,115.900002,Nanchang,南昌,昌北,南昌昌北
CGQ,43.996208,125.685303,Changchun,长春,龙嘉,长春龙嘉
NGB,29.826679,121.461899,Ningbo,宁波,栎社,宁波栎社
SJW,38.274376,114.694427,Shijiazhuang,石家庄,正定,石家庄正定
ZUH,22.00666,113.376297,Zhuhai,珠海,金湾,珠海金湾
WNZ,27.91222,120.851898,Wenzhou,温州,龙湾,温州龙湾
HFE,31.986345,116.970474,Hefei,合肥,新桥,合肥新桥
INC,38.322769,106.393303,Yinchuan,银川,河东,银川河东
KWL,25.2181,110.039101,Guilin,桂林,两江,桂林两江
YNT,37.657223,120.987221,Yantai,烟台,蓬莱,烟台蓬莱
LJG,26.683332,100.25,Lijiang,丽江,三义,丽江三义
WUX,31.492889,120.424377,Wuxi,无锡,硕放,无锡硕放
NAY,40.084152,116.592735,Beijing_2,北京,南苑,北京南苑
SWA,23.5525,116.505836,Jieyang,揭阳,潮汕,揭阳潮汕
XNN,36.525322,102.037537,Xining,西宁,曹家堡,西宁曹家堡
LXA,29.29777,90.911942,Lhasa,拉萨,贡嘎,拉萨贡嘎
CZX,31.91972,119.778603,Changzhou,常州,奔牛,常州奔牛
YIH,30.556473,111.479942,Yichang,宜昌,三峡,宜昌三峡
NTG,32.072922,120.975601,Nantong,南通,兴东,南通兴东
ZHA,21.214439,110.358299,Zhanjiang,湛江,湛江,湛江湛江
XUZ,34.052925,117.554077,Xuzhou,徐州,观音,徐州观音
YTY,32.563057,119.718887,Yangzhou,扬州,泰州,扬州泰州
BHY,21.53944,109.2938,Beihai,北海,福成,北海福成
YCU,35.116669,111.039719,Yuncheng,运城,张孝,运城张孝
WMT,27.59,106.999725,Zunyi,遵义,新舟,遵义新舟
BAV,40.55999,109.996902,Baotou,包头,二里半,包头二里半
LYI,35.046112,118.411667,Linyi,临沂,沭埠岭,临沂沭埠岭
YNZ,33.385555,120.125275,Yancheng,盐城,南洋,盐城南洋
YIW,29.344563,120.028809,Yiwu,义乌,义乌,义乌义乌
KOW,25.851667,114.776665,Ganzhou,赣州,黄金,赣州黄金
LYG,34.571659,118.873596,Lianyungang,连云港,白塔埠,连云港白塔埠
YNJ,42.885662,129.439362,Yanji,延吉,朝阳川,延吉朝阳川
XFN,32.150551,112.290802,Xiangyang,襄阳,刘集,襄阳刘集
LYA,34.741112,112.388298,Luoyang,洛阳,北郊,洛阳北郊
BFJ,27.300278,105.301392,Bijie,毕节,飞雄,毕节飞雄
WDS,32.591667,110.907776,Shiyan,十堰,武当山,十堰武当山
TCZ,24.939379,98.482025,Tengchong,腾冲,驼峰,腾冲驼峰
ENH,30.320278,109.485001,Enshi,恩施,许家坪,恩施许家坪
BSD,25.055182,99.16143,Baoshan,保山,云瑞,保山云瑞
WMT,27.59,106.999725,Zunyi,遵义,茅台,遵义茅台
