airport_code,2015_total,2015_international,2015_domestic,,airport_code,2016_total,2016_international,2016_domestic,,airport_code,2017_total,2017_international,2017_domestic,,airport_code,2018_total,2018_international,2018_domestic,,标题：国际（含港澳台）航线TOP30机场的航线类型分布,
PEK,0.963224204,0.197714816,0.765509387,-0.567794571,PEK,0.98633025,0.211523535,0.774806715,-0.56328318,PEK,0.972101237,0.21748562,0.754615617,-0.537129997,PEK,1,0.226267748,0.773732252,-0.547464504,,
PVG,0.697475858,0.29898892,0.398486939,-0.099498019,PVG,0.741203467,0.321678061,0.419525406,-0.097847345,PVG,0.759398165,0.325969135,0.433429029,-0.107459894,PVG,0.773264504,0.340560822,0.432703682,-0.09214286,,
CAN,0.662028736,0.117648654,0.544380082,-0.426731428,CAN,0.701878786,0.137283879,0.564594907,-0.427311028,CAN,0.750246584,0.159820493,0.590426091,-0.430605598,CAN,0.769481851,0.172161569,0.597320282,-0.425158713,,
KMG,0.521202857,0.030969627,0.49023323,-0.459263603,KMG,0.547264525,0.034193017,0.513071508,-0.478878491,KMG,0.601021588,0.044202135,0.556819453,-0.512617318,KMG,0.605766852,0.054343442,0.55142341,-0.497079968,作图说明：top30机场的境内和国际（含港澳台）航线数量分布,
CTU,0.485254092,0.038653565,0.446600527,-0.407946962,CTU,0.526151489,0.049116872,0.477034617,-0.427917745,CTU,0.553789263,0.050455715,0.503333548,-0.452877833,CTU,0.580332236,0.054665442,0.525666794,-0.471001352,图例说明：2018_international注为国际（含港澳台）航线,
SZX,0.475912701,0.0259227,0.449990001,-0.424067301,SZX,0.49371083,0.033220238,0.460490593,-0.427270355,SZX,0.52562951,0.042731103,0.482898407,-0.440167304,SZX,0.554165494,0.054862031,0.499303463,-0.444441432,,2018_domestic注为境内航线
XIY,0.458223034,0.016483014,0.441740021,-0.425257007,XIY,0.485738787,0.020224993,0.465513793,-0.4452888,XIY,0.538224797,0.017893035,0.520331762,-0.502438727,XIY,0.550189641,0.024526236,0.525663405,-0.501137169,,
SHA,0.429639597,0.024804173,0.404835424,-0.380031251,SHA,0.434666188,0.026288763,0.408377425,-0.382088662,SHA,0.439540252,0.0257295,0.413810752,-0.388081252,SHA,0.443631347,0.02572611,0.417905237,-0.392179127,,
CKG,0.423613112,0.022323078,0.401290034,-0.378966956,CKG,0.460582108,0.02914609,0.431436019,-0.402289929,CKG,0.477888764,0.029752806,0.448135959,-0.418383153,CKG,0.498771316,0.03456247,0.464208846,-0.429646376,,
HGH,0.369130702,0.041148218,0.327982483,-0.286834265,HGH,0.394626327,0.045273209,0.349353119,-0.30407991,HGH,0.417491721,0.04326325,0.374228471,-0.330965221,HGH,0.437398104,0.049862557,0.387535547,-0.33767299,,
XMN,0.297087425,0.034762449,0.262324976,-0.227562527,XMN,0.301805573,0.037792639,0.264012934,-0.226220295,XMN,0.307516837,0.04036525,0.267151587,-0.226786337,XMN,0.321081513,0.043334429,0.277747084,-0.234412655,,
WUH,0.272466283,0.022089204,0.250377079,-0.228287875,WUH,0.290518623,0.028542763,0.26197586,-0.233433097,WUH,0.304700184,0.027254763,0.277445421,-0.250190658,WUH,0.310492796,0.028474974,0.282017822,-0.253542848,,
NKG,0.258176259,0.02179432,0.23638194,-0.21458762,NKG,0.293348835,0.026251479,0.267097356,-0.240845877,NKG,0.327582525,0.028827479,0.298755046,-0.269927567,NKG,0.349420908,0.032359311,0.317061597,-0.284702286,,
URC,0.257969502,0.014212066,0.243757436,-0.22954537,URC,0.273089946,0.014181561,0.258908386,-0.244726825,URC,0.281224685,0.012883392,0.268341293,-0.255457901,URC,0.296555277,0.012358023,0.284197254,-0.271839231,,
CSX,0.253949585,0.015761056,0.238188529,-0.222427473,CSX,0.277831821,0.022102762,0.255729059,-0.233626297,CSX,0.295623172,0.021862109,0.273761062,-0.251898953,CSX,0.309035322,0.026600595,0.282434727,-0.255834132,,
TAO,0.253119164,0.033904912,0.219214252,-0.18530934,TAO,0.275313442,0.036663944,0.238649498,-0.201985554,TAO,0.295426582,0.037114744,0.258311838,-0.221197094,TAO,0.30253431,0.040572008,0.261962302,-0.221390294,,
CGO,0.249509374,0.013917182,0.235592192,-0.22167501,CGO,0.286678349,0.01399175,0.272686599,-0.258694849,CGO,0.314705912,0.011561497,0.303144415,-0.291582918,CGO,0.340299833,0.017123624,0.323176209,-0.306052585,,
HAK,0.196735258,0.006755222,0.189980036,-0.183224814,HAK,0.223929011,0.008541475,0.215387536,-0.206846061,HAK,0.263721439,0.012473266,0.251248174,-0.238774908,HAK,0.27693361,0.013723982,0.263209629,-0.249485647,,
TSN,0.190993489,0.023621247,0.167372242,-0.143750995,TSN,0.223844274,0.028108911,0.195735363,-0.167626452,TSN,0.26622965,0.024871963,0.241357688,-0.216485725,TSN,0.286600391,0.028668174,0.257932217,-0.229264043,,
DLC,0.189532625,0.021228278,0.168304348,-0.14707607,DLC,0.212001451,0.021160488,0.190840962,-0.169680474,DLC,0.23476516,0.019865709,0.214899451,-0.195033742,DLC,0.242062698,0.021170657,0.220892042,-0.199721385,,
HRB,0.182011382,0.010653118,0.171358264,-0.160705146,HRB,0.204825934,0.010995455,0.193830479,-0.182835024,HRB,0.229196254,0.009473581,0.219722673,-0.210249092,HRB,0.245218299,0.01018876,0.235029539,-0.224840779,,
SYX,0.180825066,0.002650569,0.178174497,-0.175523928,SYX,0.189854625,0.005046927,0.184807698,-0.179760771,SYX,0.199734943,0.007063664,0.192671279,-0.185607615,SYX,0.203697239,0.008738065,0.194959174,-0.186221109,,
SHE,0.161959252,0.016371161,0.145588091,-0.12921693,SHE,0.187851446,0.017943877,0.169907569,-0.151963692,SHE,0.210059282,0.014310361,0.195748921,-0.18143856,SHE,0.227789622,0.017676109,0.210113513,-0.192437404,,
FOC,0.151004471,0.01805234,0.13295213,-0.11489979,FOC,0.153804177,0.020336846,0.133467331,-0.113130485,FOC,0.157942725,0.020587667,0.137355058,-0.116767391,FOC,0.181011487,0.025556636,0.155454851,-0.129898215,,
NNG,0.14372049,0.01244615,0.131274341,-0.118828191,NNG,0.155292156,0.014757771,0.140534385,-0.125776614,NNG,0.177422034,0.013510445,0.163911589,-0.150401144,NNG,0.187976857,0.014771329,0.173205528,-0.158434199,,
TNA,0.136829689,0.008212696,0.128616993,-0.120404297,TNA,0.159949293,0.011185265,0.148764028,-0.137578763,TNA,0.187282014,0.00941596,0.177866055,-0.168450095,TNA,0.209188187,0.013290129,0.195898058,-0.182607929,,
NGB,0.090004101,0.012398697,0.077605404,-0.065206707,NGB,0.10155204,0.013340971,0.088211069,-0.074870098,NGB,0.117726612,0.013042697,0.104683915,-0.091641218,NGB,0.138798974,0.013961245,0.124837729,-0.110876484,,
YNT,0.073605824,0.008717728,0.064888097,-0.056170369,YNT,0.083465805,0.009575265,0.07389054,-0.064315275,YNT,0.102402798,0.009426128,0.09297667,-0.083550542,YNT,0.124908908,0.010351455,0.114557453,-0.104205998,,
WUX,0.061169843,0.006453559,0.054716284,-0.048262725,WUX,0.072721172,0.008738065,0.063983107,-0.055245042,WUX,0.084740248,0.009914212,0.074826035,-0.064911823,WUX,0.089329596,0.01128695,0.078042646,-0.066755696,,
JJN,0.051964031,0.008297433,0.043666598,-0.035369165,JJN,0.052987652,0.008365223,0.04462243,-0.036257207,JJN,0.069996034,0.008982107,0.061013927,-0.05203182,JJN,0.096061092,0.012273287,0.083787805,-0.071514518,,
